file,length(s)
02_08/Home_Visit/Processing/Video_Files/02_8_up2.mp4,1137.166667
02_08/Home_Visit/Processing/Video_Files/02_8_up1.mp4,2269.4
02_08/Home_Visit/Processing/Video_Files/02_8_down1.mp4,3704.32
02_08/Home_Visit/Processing/Video_Files/02_08_video.mp4,3619.008
02_11/Home_Visit/Processing/Video_Files/02_11_up2.mp4,3299.968
02_11/Home_Visit/Processing/Video_Files/02_11_up1.mp4,489.984
02_11/Home_Visit/Processing/Video_Files/02_11_down1.mp4,3798.272
02_11/Home_Visit/Processing/Video_Files/02_11_video.mp4,3677.802667
02_13/Home_Visit/Processing/Video_Files/02_13_video.mp4,3615.573333
02_13/Home_Visit/Processing/Video_Files/02_13_up1.mp4,3660.288
02_13/Home_Visit/Processing/Video_Files/02_13_parent1.mp4,3688.064
02_13/Home_Visit/Processing/Video_Files/corrupted/repaired/02_13_down1.mp4,3330.766667
02_07/Home_Visit/Processing/Video_Files/02_7_down1.mp4,4084.864
02_07/Home_Visit/Processing/Video_Files/02_07_video.mp4,4050.837333
02_07/Home_Visit/Processing/Video_Files/02_7_up1.mp4,4118.144
02_09/Home_Visit/Processing/Video_Files/02_09_video.mp4,4898.624
02_09/Home_Visit/Processing/Video_Files/02_9_up1.mp4,3737.472
02_09/Home_Visit/Processing/Video_Files/02_9_down1.mp4,3752.192
02_12/Home_Visit/Processing/Video_Files/02_12_parent1.mp4,3762.944
02_12/Home_Visit/Processing/Video_Files/02_12_video.mp4,3611.562667
02_12/Home_Visit/Processing/Video_Files/02_12_up1.mp4,3745.664
02_12/Home_Visit/Processing/Video_Files/02_12_down1.mp4,3125.7
02_06/Home_Visit/Processing/Video_Files/02_6_down1.mp4,3058.176
02_06/Home_Visit/Processing/Video_Files/02_6_up1.mp4,4035.0
02_06/Home_Visit/Processing/Video_Files/02_06_video.mp4,3044.266667
02_10/Home_Visit/Processing/Video_Files/02_10_video.mp4,3565.162667
02_10/Home_Visit/Processing/Video_Files/02_10_down1.mp4,3670.656
02_10/Home_Visit/Processing/Video_Files/02_10_parent1.mp4,3440.633333
02_14/Home_Visit/Processing/Video_Files/02_14_video.mp4,3691.690667
02_14/Home_Visit/Processing/Video_Files/02_14_down1.mp4,2434.432
02_14/Home_Visit/Processing/Video_Files/02_14_up1.mp4,3736.704
02_14/Home_Visit/Processing/Video_Files/02_14_parent1.mp4,3742.72
02_14/Home_Visit/Processing/Video_Files/02_14_video_new.mp4,3760.448
